Key,Id,Korean (South Korea)(ko-KR),English(en),Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),Hindi (India)(hi-IN),Japanese (Japan)(ja-JP)
"FridgeDoor",14531523839057920,"냉장고 문","Fridge Door","冰箱门","冰箱門","फ्रिज का दरवाज़ा","冷蔵庫のドア"
"Fuse Box",11609731922649088,"두꺼비 집","Fuse Box","配电箱","配電箱","फ्यूज़ बॉक्स","電源ブレーカ"
"Hold",17376042262978560,"들기","Hold","保持","保持","पकड़ना","持ち上げる"
"Day1_Intro_1",2370236375359488,"미카 코지마: 히로시씨 잘 들리십니까. 저는 와즈마 호텔의 지배인 Mika Kojima 라고 합니다.","Mika Kojima: Mr. Hiroshi, can you hear me? I am Mika Kojima, the manager of Wazuma Hotel.","美佳小岛: 广志先生，您听得见吗？我叫美佳小岛，是瓦兹玛酒店的经理。","美佳小島: 廣志先生，您聽得見嗎？我叫美佳小島，是瓦茲瑪酒店的經理。","मिका कोजिमा: हिरोशी-सान, क्या आप मुझे सुन सकते हैं? मैं वाज़मा होटल की मैनेजर मिका कोजिमा हूं।","美香小島: 博志さん、聞こえますか。私はワズマホテルの支配人、美香小島（ミカ•コジマ）と申します。"
"Day1_Intro_2",2372381283704832,"미카 코지마: 금일 해야 할 업무와 지침서는 테이블 위에 있습니다.","Mika Kojima: The tasks for today and the instruction manual are on the table.","美佳小岛: 今日的工作任务和指示书在桌子上。","美佳小島: 今日的工作任務和指示書在桌子上。","मिका कोजिमा: आज के काम और दिशानिर्देश टेबल पर रखे हुए हैं।","美香小島: 本日行うべき業務と指針書はテーブルの上にあります。"
"Day1_Intro_4",2372763791646720,"미카 코지마: 해야 할 업무와 지침서를 확인하셨나요? ","Mika Kojima: Have you reviewed the tasks and the guidelines?","美佳小岛: 您查看过需要完成的工作和指示书了吗？","美佳小島: 您查看過需要完成的工作和指示書了嗎？","मिका कोजिमा: क्या आपने काम और दिशानिर्देशों की जांच कर ली है?","美香小島:今日の業務と指針書を確認しましたか"
"Inventory",2534157107322880,"인벤토리","INVENTORY","背包","背包","इन्वेंटरी","インベントリー"
"Key 201",17369369641213952,"201호 열쇠","Key 201","201号钥匙","201號鑰匙","कमरा 201 की चाबी","201号の鍵"
"Key 202",17369415602397184,"202호 열쇠","Key 202","202号钥匙","202號鑰匙","कमरा 202 की चाबी","202号の鍵"
"Key 203",17369489485062144,"203호 열쇠","Key 203","203号钥匙","203號鑰匙","कमरा 203 की चाबी","203号の鍵"
"Key 204",17369530996088832,"204호 열쇠","Key 204","204号钥匙","204號鑰匙","कमरा 204 की चाबी","204号の鍵"
"Key 301",17369568665133056,"301호 열쇠","Key 301","301号钥匙","301號鑰匙","कमरा 301 की चाबी","301号の鍵"
"Key 302",17369616664748032,"302호 열쇠","Key 302","302号钥匙","302號鑰匙","कमरा 302 की चाबी","302号の鍵"
"Key 303",17369654518341632,"303호 열쇠","Key 303","303号钥匙","303號鑰匙","कमरा 303 की चाबी","303号の鍵"
"Key 304",17369680669827072,"304호 열쇠","Key 304","304号钥匙","304號鑰匙","कमरा 304 की चाबी","304号の鍵"
"Key 401",17369702283075584,"401호 열쇠","Key 401","401号钥匙","401號鑰匙","कमरा 401 की चाबी","401号の鍵"
"Key 402",17369730166808576,"402호 열쇠","Key 402","402号钥匙","402號鑰匙","कमरा 402 की चाबी","402号の鍵"
"Key 403",17369751520010240,"403호 열쇠","Key 403","403号钥匙","403號鑰匙","कमरा 403 की चाबी","403号の鍵"
"Key 404",17369774035034112,"404호 열쇠","Key 404","404号钥匙","404號鑰匙","कमरा 404 की चाबी","404号の鍵"
"Key_Description",17371653376827392,"객실의 문을 열 수 있는 열쇠 입니다. 잘 보관해주세요.","This is the key to open the room. Please keep it safe.","这是可以打开客房门的钥匙，请妥善保管。","這是可以打開客房門的鑰匙，請妥善保管。","यह कमरे के दरवाज़ा खोलने के लिए की है। कृपया इसे अच्छे से संभालकर रखें।","客室のドアを開けることができる鍵です。大切に保管してください。"
"Lamp",7167580371410944,"램프","LAMP","灯","燈","लैम्प","ランプ."
"Lever",10084824931885056,"레버","Lever","杠杆","槓桿","लीवर","レバー"
"Lever Off",10084990200045568,"내리기","Off","拉下","拉下","बंद","下ろす"
"Lever On",10084954678484992,"올리기","On","抬起","抬起","चालू","上げる"
"Light",7169933342400512,"전등","LIGHT","灯","燈","बत्ती","電灯"
"Lock",7172101013233664,"자물쇠","LOCK","锁","鎖","ताला","錠"
"Locked",7173531119902720,"잠김","LOCKED","锁住","鎖住","ताला लगा हुआ","ロック"
"LockerRoom Key",17380570618126336,"라커룸 열쇠","LockerRoom Key","储物柜钥匙","儲物櫃鑰匙","लॉकर रूम की चाबी","ロッカールームの鍵"
"LockerRoom Key.Description",17380630315655168,"라커룸 문을 열 수 있는 열쇠 입니다.","This is the key to open the locker room door.","这是可以打开储物柜门的钥匙。","這是可以打開儲物櫃門的鑰匙。","यह लॉकर्स के कमरे का दरवाज़ा खोलने के लिए की है।","ロッカールームのドアを開けることができる鍵です。"
"Look",7129496325971968,"보기","LOOK","看","看","देखना","見る"
"Looted",7141774450483200,"{0} 획득","Looted {0}","获得{0}","獲得{0}","{0} प्राप्त","{0} 獲得"
"Exit",12204017047298048,"종료","Exit","退出","退出","बाहर निकलें","終了"
"Master Key",7135028172546048,"마스터 키","Master Key","万能钥匙","萬能鑰匙","मास्टर कुंजी","マスターキー"
"Masterkey.Description",7136295070457856,"이 키를 통해 다양한 문을 열 수 있다.","This key can open various doors.","通过这把钥匙可以打开各种门。","通過這把鑰匙可以打開各種門。","इस चाबी से आप कई दरवाज़े खोल सकते हैं।","このキーで色々なドアを開けることができる。"
"Move",2533924675772416,"이동","MOVE","移动","移動","गति","移動"
"Open",2532148044095488,"열기","OPEN","打开","打開","खोलना","開く"
"Options",299811987456,"옵션","Options","选项","選項","ऑप्शन","オプション"
"papers.guide",7159201007656960,"저희 와즈마 호텔에서는 야간 근로 직원들의 안전을 위한 
행동수칙을 제공합니다.
해당 내용을 절대 외부에 누설 해서는 안되며 이 항목들을 무시하거나 위반하는 사고에 대해서 우리 호텔은 책임을 지지 않습니다.

- 와즈마 호텔 지배인","At Wazuma  Hotel, we provide safety guidelines for our night shift employees. The information provided must not be disclosed to outsiders, and the hotel will not be held responsible for any incidents resulting from ignoring or violating these guidelines.

Wazuma Hotel Manager","我们华兹玛酒店提供了夜间工作员工的安全行为规范。
这些内容绝对不得泄露给外部，忽视或违反这些条款导致的事故，酒店概不负责。

— 华兹玛酒店总经理","我們華茲瑪酒店提供了夜間工作員工的安全行為規範。
這些內容絕對不得洩露給外部，忽視或違反這些條款導致的事故，酒店概不負責。","हमारे वाज़मा रेजिडेंस होटल में, हम रात की पाली में काम करने वाले कर्मचारियों की सुरक्षा के लिए नियम प्रदान करते हैं। इन निर्देशों को कभी भी बाहरी व्यक्तियों के साथ साझा नहीं किया जाना चाहिए। यदि इन नियमों की अनदेखी की जाती है या उनका उल्लंघन किया जाता है, तो हमारे होटल की कोई ज़िम्मेदारी नहीं होगी।

- वाज़मा रेजिडेंस होटल प्रबंधक","当ワズマホテルでは、夜間勤務の従業員の安全のための 
行動指針を提供しています。
この内容を絶対に外部に漏らしてはならず、これらの項目を無視したり、違反した場合の事故については、当ホテルは責任を負いません。

- ワズマホテル支配人"
"Pause",4260356096,"일시정지","Pause","暂停","暫停","पॉज़","一時停止"
"Phone",7132590300454912,"전화기","PHONE","电话机","電話機","फोन","電話機"
"Plastic Basket",17375851933851648,"플라스틱 바구니","Plastic Basket","塑料篮子","塑膠籃子","प्लास्टिक की टोकरी","プラスチックバスケット"
"PressKeyToEquip",9996417489231872,"{0}번 키를 눌러서 사용","Press {0} to Equip","按{0}键使用","按{0}鍵使用","{0} नंबर की दबाकर उपयोग करें।","{0}番キーを押して使用"
"prompt.shortcut",9089288443518976,"키를 눌러 선택한 항목의 바로 가기를 설정합니다.","Press the shortcut key to set the shortcut for the selected item.","按下键盘设置所选项的快捷方式。","按下鍵盤設置所選項的快捷方式。","कुंजी दबाकर चुने हुए विकल्प का शॉर्टकट सेट करें।","キーを押して、選択したアイテムのショートカットを設定します。"
"Push",9096363982708736,"누르기","Push","按下","按下","दबाना","押す"
"Put",5383377393344512,"놓기","Put","放置","放置","रखना","置く"
"Put Back",2530081309188096,"뒤로가기","Put Back","放回","放回","वापस रखें","戻る"
"QuestBathRoom",17386706213789696,"<color=""yellow"">{0}호</color>를 순찰하면서 욕조에 물이 있는지 확인하십시오.
물이 채워져있다면 스위치를 눌러 물을 빼주세요.","Please check if there is water in the bathtub while patrolling Room <color=""yellow"">{0}호</color>. If the bathtub is filled, press the switch to drain the water.","<color=""yellow"">{0}号</color>房间巡逻时，请检查浴缸是否有水。

如果有水，请按下开关排水。","<color=""""yellow"""">{0}號</color>房間巡邏時，請檢查浴缸是否有水。

如果有水，請按下開關排水。","<color='yellow'>{0} नंबर</color> की जाँच करें और सुनिश्चित करें कि बाथटब में पानी है या नहीं। अगर पानी भरा हुआ है, तो स्विच दबाकर पानी निकालें।","<color=""yellow"">{0}号</color>を見回りながら、お風呂に水があるか確認してください。
水が満たされていたら場合は、スイッチを押して水を抜いてください。"
"QuestFillBeer",14535166654996480,"<color=""yellow"">{0}호</color>를 순찰하면서 냉장고를 확인하고 맥주를 채워주십시오.
맥주는 지하1층 전기실에 있습니다.","Please check the refrigerator and restock the beer while patrolling Room <color=""yellow"">{0}호</color>. The beer is located in the electrical room on B1.","<color=""yellow"">{0}号</color>房间巡逻时，请检查冰箱并补充啤酒。

啤酒在地下1层的电气室里。","<color=""""yellow"""">{0}號</color>房間巡邏時，請檢查冰箱並補充啤酒。

啤酒在地下1層的電氣室裡。","<color='yellow'>{0} नंबर</color> की जाँच करते हुए फ्रिज की जाँच करें और बीयर भर दें। बीयर भूतल पर, बेसमेंट 1 के इलेक्ट्रिकल रूम में है।","<color=""yellow"">{0}号</color>を見回りながら冷蔵庫を確認し、ビールを補充してください。
ビールは地下1階の電気室にございます。"
"QuestLockerRoom",14504039902339072,"다른 직원이 지하1층 라커룸에 보안카드를 놔두고 왔다고 합니다. <color=""yellow"">라커룸</color>에 가서 보안카드를 찾아와주십시오.","Another employee has left their security card in the locker room on B1. Please go to the locker room and retrieve the security card.","另一位员工在地下1层更衣室里忘了放置安全卡。请前往<color=""yellow"">更衣室</color>找回安全卡。","另一位員工在地下1層更衣室裡忘了放置安全卡。請前往<color=""yellow"">更衣室</color>找回安全卡。","एक अन्य कर्मचारी ने地下1층 के लॉकर्स में सुरक्षा कार्ड छोड़ दिया है। कृपया <color='yellow'>लॉकर रूम</color> में जाकर सुरक्षा कार्ड ढूंढ लाएं।","他の職員が地下1階のロッカールームにセキュリティカードを置いてきたそうです。 <color=""yellow"">ロッカールーム</color>に行ってセキュリティカードを取りに行ってください。"
"QuestPaper",14382913079468032,"할일","To Do List","待办事项","待辦事項","काम","仕事"
"QuestPaper.Description",14383088921468928,"오늘 해야 할일들이 적힌 문서 입니다.","This is a document listing today's tasks.","这是今天需要完成的任务清单。","這是今天需要完成的任務清單。","यह दस्तावेज़ है जिसमें आज करने वाले काम लिखे गए हैं।","今日の仕事が書かれた文書です。"
"QuestRoomCheck",14358921044025344,"<color=""yellow"">{0}호</color>를 순찰하면서 조명이 켜져있는지 확인하십시오.
조명이 켜진 방이 있다면 그 방의 조명을 꺼주시기 바랍니다.
","Please patrol room <color=""yellow"">{0}호</color> and check if the lights are on. If you find any lights on in the room, please turn them off.","<color=""yellow"">{0}号</color>房间巡逻时，请检查是否有灯光打开。
如果有灯光打开的房间，请将该房间的灯光关闭。","<color=""""yellow"""">{0}號</color>房間巡邏時，請檢查是否有燈光打開。 
如果有燈光打開的房間，請將該房間的燈光關閉。","<color='yellow'>{0} नंबर</color> की निगरानी करते समय जांचें कि लाइट चालू है या नहीं। यदि कोई कमरा है जहाँ लाइट चालू है, तो कृपया उसकी लाइट बंद कर दें।","<color=""yellow"">{0}号</color>を見回りしながら電灯が付けていることを確認してください。
電灯がついている部屋があれば、その部屋の電灯を消してください"
"QuestWireRepair",19168699340087296,"<color=""yellow"">{0}호</color>의 전기가 차단되었습니다. 해당 호실의 <color=""yellow"">열쇠</color>를 챙겨 객실 문을 연 후 현관 옆 배선함 내부의 전선을 수리하여 전기를 복구해주십시오.","The power in room <color=""yellow"">{0}호</color> has been cut off. Please take the <color=""yellow"">key</color> for that room, unlock the door, and repair the wiring inside the electrical panel next to the entrance to restore the power.","<color=""yellow"">{0}号</color>房间的电源已被切断。请带上该房间的<color=""yellow"">钥匙</color>，打开房间门后，修理门旁配电箱内的电线，以恢复电源。","<color=""yellow"">{0}號</color>房間的電源已被切斷。請帶上該房間的<color=""yellow"">鑰匙</color>，打開房間門後，修理門旁配電箱內的電線，以恢復電源。","<color='yellow'>{0} नंबर</color> की बिजली कट गई है। कृपया उस कमरे की <color='yellow'>चाबी</color> लेकर दरवाजा खोलें और फिर प्रवेश द्वार के पास की वायरिंग बॉक्स में अंदर के तारों की मरम्मत करें ताकि बिजली बहाल हो सके।","<color=「yellow」>{0}号室の電気が切れています。<color=「yellow」>該当部屋の<color=「yellow」>鍵</color>を用意し、客室のドアを開けた後、玄関横の配電箱内の配線を修理して電気を復旧してください。"
"Quit",341356568576,"종료","Quit","退出","退出","बंद करें","終了"
"Read",2530235605049344,"설명","Read","解释","解釋","विवरण","説明"
"Restart",12203925447892992,"재시작","Restart","重新启动","重新啟動","फिर से शुरू करें","リスタート"
"Resume",260465221632,"계속","Resume","继续","繼續","जारी रखें","続く"
"Room401",6792803073449984,"401호 객실 내부","Inside room 401","401号房间内部","401號房間內部","401 नंबर कमरे का अंदरूनी भाग","401号客室の内部"
"Rotate",2530257180549120,"회전","Rotate","旋转","旋轉","घुमाना","回転"
"RulePaper",7132248825389056,"지침서","RULE","指南","指南","निर्देशिका","指針書"
"RulePaper.Description",14376751089049600,"업무 수행 중 지켜야 할 지침 내용이 담겨 있습니다.","This document contains guidelines that must be followed during the performance of duties.","这是在执行任务时需要遵守的指导内容。","這是在執行任務時需要遵守的指導內容。","यह दस्तावेज़ उन निर्देशों की जानकारी प्रदान करता है जिनका पालन कार्य करते समय करना चाहिए।","業務遂行中に守らなければならない指針内容が含まれています。"
"Safe",12199161230254080,"금고","Safe","保险箱","保險箱","तिजोरी","金庫"
"Security Card",10008928062070784,"보안카드","Security Card","安全卡","安全卡","सुरक्षा कार्ड","セキュリティカード"
"Security Card.Description",10082642522267648,"카드를 사용하여 보안실의 문을 열 수 있습니다.","You can use the card to unlock the security room door.","可以使用卡片打开保安室的门。","可以使用卡片打開保安室的門。","कार्ड का उपयोग करके सुरक्षा कक्ष का दरवाजा खोला जा सकता है।","カードを使っててセキュリティ室のドアを開けることができます。"
"Select",2534080649355264,"선택","Select","选择","選擇","चयन","選択"
"Shortcut",9086258360868864,"단축키","Shortcut","快捷键","快捷鍵","कीबोर्ड शॉर्टकट","ショートカットキー"
"Switch",2535451717001216,"전환","SWITCH","切换","切換","स्विच","転換"
"Throw",15106710296911872,"던지기","Throw","扔","扔","फेंकना","投げ"
"To do list",14360381861388288,"<align=center><b><size=30>할일</size></b></align>","<align=center><b><size=30>To Do List</size></b></align>","<align=""center""><b><size=""30"">待办事项</size></b></align>","<align=""center""><b><size=""30"">待辦事項</size></b></align>","<align=center><b><size=30>कार्य</size></b></align>","<align=center><b><size=30>仕事</size></b></align>"
"Turn Off",12201020527468544,"끄기","Turn Off","关闭","關閉","स्विच ऑफ करें","オフ"
"Turn On",12200968203526144,"켜기","Turn On","打开","打開","स्विच ऑन करें","オン"
"Unlocked",7173593849913344,"잠금 해제","UNLOCKED","解锁","解鎖","अनलॉक","ロック解除"
"Up",2531282004205568,"올라가기","UP","上去","上去","चढ़ना","上がる"
"Use",2512748280799232,"사용","USE","使用","使用","उपयोग","使用"
"Valve",15113247941779456,"밸브","Valve","阀门","閥門","वॉल्व","バルブ"
"WaterCutOff_1",17759798291324928,"타카야마 히로시 : 안녕하세요, 리셉션 타카야마 히로시 입니다. 어떻게 도와드릴까요?","Hiroshi Takayama: Hello, this is Hiroshi Takayama at the reception. How can I assist you?","高山宏志：您好，我是前台的高山宏志。请问我能帮您什么？","高山宏志：您好，我是前台的高山宏志。請問我能幫您什麼？","ताकायामा हिरोशी: नमस्ते, रिसेप्शन पर ताकायामा हिरोशी बोल रहा हूँ। मैं आपकी कैसे मदद कर सकता हूँ?","高山博志 : こんばんは、レセプションの高山博志です。どうされましたか。"
"WaterCutOff_2",17759880050892800,"???호 투숙객 : 객실 안에 물이 나오고 있지 않습니다. 조치 부탁드립니다.","Guest in room ???: The water isn't running in my room. Please take care of it.","???号客人：房间内没有水流，请采取措施解决问题。","???號客人：房間內沒有水流，請採取措施解決問題。","??? नंबर के मेहमान: कमरे में पानी नहीं आ रहा है। कृपया इसका समाधान करें।","???号ゲスト : 客室に水が出ません。措置をお願いします。"
"WaterCutOff_3",17759883699937280,"타카야마 히로시 : 아.. 죄송합니다. 지금 바로 조치해드리겠습니다.","Hiroshi Takayama: Ah.. I apologize. I’ll take care of it right away.","高山宏志：啊……对不起。我马上处理一下。","高山宏志：啊……對不起。我馬上處理一下。","ताकायामा हिरोशी: आ... माफ कीजिए। मैं तुरंत इसका समाधान कर दूंगा।","高山博志 : あ…申し訳ございません。今すぐ対応させていただきます。"
"Window",9662194827386880,"창문","Window","窗户","窗戶","खिड़की","窓"
"You Have Died",12204065889968128,"사망","You Have Died","死亡","死亡","मृत्यु","死亡"
"Zoom",2530279271948288,"확대 / 축소","Zoom","缩放","縮放","ज़ूम","拡大 / 縮小"
"Rule",14376255733358592,"지침서","Rule","指南","指南","निर्देशिका","指針書"
"No Inventory Space",19218438240067584,"인벤토리 공간이 부족합니다.
정리해주세요.","Inventory space is insufficient.
Please organize it.","库存空间不足。 请整理一下。","庫存空間不足。請整理一下。","इन्वेंटरी की जगह खत्म हो गई है। कृपया इसे整理 करें।","インベントリが足りません。
整理してください。"
"PrevPage",19511113803620352,"이전페이지","PrevPage","上一页","上一頁","पिछला पृष्ठ","以前ページ"
"NextPage",19511175824793600,"다음페이지","NextPage","下一页","下一頁","अगला पृष्ठ","次のページ"
"To do list_Notice",19609283531366400,"<color=""yellow"">※ 카운터 뒤쪽 벽면에 열쇠가 있습니다.</color>","<color=""yellow"">※ There are keys on the wall behind the counter.</color>","<color=""yellow"">※ 钥匙在柜台后面的墙面上。</color>","<color=""yellow"">※ 鑰匙在櫃台後面的牆面上。</color>","<color='yellow'>※ काउंटर के पीछे की दीवार पर एक चाबी है।</color>","<color=""yellow"">※カウンター裏の壁に鍵があります。</color>"
"NextDay_1",22368156159827968,"타카야마 히로시 : 오늘 할일을 다 했으니 이제 퇴근해봐야겠네.","Hiroshi Takayama: I've finished all my tasks for today, so it's time to head home.","高山宏志：今天的工作都完成了，现在该下班了。","高山宏志：今天的工作都完成了，現在該下班了。","ताकायामा हिरोशी: आज के सारे काम पूरे हो गए हैं, अब मुझे घर जाने का समय है।","高山博志 : 今日の仕事は全部終わったから、もう帰らなきゃ。"
"Drain",25021551261769728,"물 빼기","Drain the water.","排水","排水","पानी निकालना","水抜き"
"Day1_Intro_5",25335159338295296,"미카 코지마: 자 다음은 오른쪽에 보시면 프린트 위에 지도가 있습니다.","Mika Kojima: Now, if you look to the right, there is a map on top of the printer.","小岛美香：接下来，请看右边的打印机上有一张地图。","小島美香：接下來，請看右邊的打印機上有一張地圖。","मिका कोजिमा: ठीक है, अब दाहिने ओर देखें, प्रिंट के ऊपर एक मानचित्र है।","美香小島:次は右側を見るとプリントの上に地図があります。"
"Day1_Intro_6",25335381749653504,"미카 코지마: 참고 하셔서 업무를 수행해주세요.","Mika Kojima: Please refer to it as you carry out your tasks.","小岛美香：请参考地图执行工作。","小島美香：請參考地圖執行工作。","मिका कोजिमा: कृपया इसे संदर्भ के रूप में इस्तेमाल करके कार्य करें।","美香小島:参考にして業務を遂行してください。"
"Day1_Intro_7",25335428042186752,"미카 코지마: 저희 호텔은 업무 중 발생하는 모든 사고에 대한 책임을 지지 않습니다.","Mika Kojima: Our hotel is not responsible for any accidents that occur during the performance of duties.","小岛美香：我们酒店对工作中发生的所有事故不负任何责任。","小島美香：我們酒店對工作中發生的所有事故不負任何責任。","मिका कोजिमा: हमारे होटल किसी भी कार्य के दौरान उत्पन्न होने वाली सभी दुर्घटनाओं के लिए जिम्मेदार नहीं है।","美香小島:当ホテルは業務中に発生するすべての事故に対して責任を負いません。"
"Day1_Intro_8",25335480487763968,"미카 코지마: 그러니 손전등과 보안카드를 챙기시고 다치지 않게 안전한 업무 수행 부탁드립니다.","Mika Kojima: So please make sure to take a flashlight and a security card, and carry out your tasks safely without getting injured.","小岛美香：因此，请携带手电筒和安全卡，确保安全地完成工作，避免受伤。","小島美香：因此，請攜帶手電筒和安全卡，確保安全地完成工作，避免受傷。","मिका कोजिमा: इसलिए कृपया टॉर्च और सुरक्षा कार्ड साथ ले लें और सुरक्षित तरीके से कार्य करें।","美香小島:ですので、懐中電灯とセキュリティカードを持って怪我をしないように安全な業務遂行をお願いします。"
"Day2_Intro_1",25339381744132096,"미카 코지마: 히로시씨 어제 업무는 다치지 않고 잘 완수하셨나요? ","Mika Kojima: Hiroshi, did you complete your tasks yesterday without any injuries?","小岛美香：浩志先生，您昨天的工作完成得很好，没有受伤吧？","小島美香：浩志先生，您昨天的工作完成得很好，沒有受傷吧？","मिका कोजिमा: हिरोशी-सान, क्या आपने कल का कार्य बिना किसी चोट के पूरा कर लिया?","美香小島: 博志さん、昨日の仕事は怪我をせず無事に完遂しましたか"
"Day2_Intro_2",25350782260862976,"미카 코지마: 어려운 일은 아니었을 것이라고 봅니다.","Mika Kojima: I assume it wasn't a difficult task.","小岛美香：我认为这不会是很困难的工作。","小島美香：我認為這不會是很困難的工作。","मिका कोजिमा: मुझे लगता है कि यह कोई कठिन कार्य नहीं रहा होगा।","美香小島: 難しい仕事ではなかったと思います。"
"Day2_Intro_3",25350785993793536,"미카 코지마: 오늘은 업무 내용이 추가되었습니다.","Mika Kojima: Today's tasks have been updated.","小岛美香：今天的工作内容有增加。","小島美香：今天的工作內容有增加。","मिका कोजिमा: आज काम की सामग्री में इजाफा किया गया है।","美香小島: 今日は業務内容が追加されました。"
